NO,Predict,aat0dem,aat10dem,asp,bio1,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,clay,dem,eco,im,lst,lucc,mor,ndvi,pa,sand,silt,slope,soil,tadem,veg,water
11475,0,57491,51127,108.435,162,276,42,1166,193,36,48,485,137,482,142,81,24,9083,328,-7,335,251,65,29,3,1,4391,14413,113,12,3961,12548,33,38,1.00648,23119100,158,5772,333.502
6361,0,52640,44552,89.2559,148,254,40,1475,261,33,53,609,137,609,137,80,25,8335,304,-6,310,254,40,12,407,2,8176,14369,21,42,3961,15427,62,26,23.1619,23115192,144,4311,3689.38
10113,0,58403,51676,270,166,276,54,1293,238,30,52,536,124,519,124,78,24,8658,327,9,318,249,54,36,16,1,6417,,113,12,3961,14585,39,25,2.86241,23121120,160,580,886.329
6165,0,56391,50335,101.31,159,269,42,1305,222,41,48,539,153,519,166,79,24,8803,322,-5,327,244,65,36,89,3,7114,,31,21,3961,14802,39,25,3.24267,23121120,155,2402,1053.37
8145,0,57248,51006,180,164,277,45,1176,193,35,48,487,131,473,133,78,23,9035,330,-3,333,252,66,22,5,1,5207,14462,123,11,3962,13272,47,31,0.636594,23116140,157,5772,1123.21
4759,0,58161,51524,111.801,165,276,47,1248,214,36,49,519,135,491,139,78,23,8904,329,0,329,251,68,41,7,1,6272,1446,113,31,3962,14369,21,38,5.12871,23119106,159,580,2214.03
5931,0,59159,52040,214.992,170,279,56,1373,241,41,51,590,148,512,156,80,24,8685,333,10,323,212,77,29,16,1,7302,1459,113,11,3963,15368,33,38,3.87953,23119100,162,580,1158.15
7963,0,59646,52284,11.3099,169,278,55,1394,245,41,51,595,150,526,159,80,24,8682,333,9,324,211,77,29,29,1,7047,14548,122,21,3963,15206,33,38,1.62263,23119100,163,580,3045.77
7568,0,58684,51088,90,162,267,49,1655,289,46,54,739,166,579,214,80,24,8478,321,0,321,203,69,29,154,1,10162,14626,113,19,3964,17150,33,38,0.954841,23119100,161,580,2075.28
9125,0,59494,52222,90,169,278,55,1385,244,41,51,592,149,522,157,80,24,8673,332,8,324,211,77,29,21,1,7264,14562,113,25,3964,15416,33,38,0.954841,23119100,163,580,2329.62
6392,0,59280,52070,341.565,166,274,55,1321,250,27,54,556,122,531,122,79,25,8528,325,10,315,204,55,37,19,1,7148,14473,113,21,3964,15011,25,38,3.01696,23110132,162,580,1620.62
200,1,58702,51673,281.31,168,276,54,1305,236,31,52,560,134,502,134,80,24,8631,329,8,321,208,75,29,7,1,7158,1451,113,17,3965,15090,33,38,1.62263,23119100,161,580,882.329
201,1,58702,51673,288.435,168,276,54,1305,236,31,52,560,134,502,134,80,24,8631,329,8,321,208,75,29,15,1,7170,1451,113,17,3965,15101,33,38,2.01234,23119100,161,580,683.963
202,1,58702,51673,270,168,276,54,1305,236,31,52,560,134,502,134,80,24,8631,329,8,321,208,75,29,8,1,7158,1451,113,17,3965,15090,33,38,1.59114,23119100,161,580,882.329
203,1,58702,51673,45,168,276,54,1305,236,31,52,560,134,502,134,80,24,8631,329,8,321,208,75,29,7,1,7170,1451,113,17,3965,15101,33,38,1.35022,23119100,161,580,783.634
204,1,58702,51673,23.1986,168,276,54,1305,236,31,52,560,134,502,134,80,24,8631,329,8,321,208,75,29,12,1,7170,1451,113,17,3965,15101,33,38,2.42273,23119100,161,580,821.884
205,1,58702,51673,345.964,168,276,54,1305,236,31,52,560,134,502,134,80,24,8631,329,8,321,208,75,29,9,1,7170,1451,113,17,3965,15101,33,38,5.23508,23119100,161,580,782.449
207,1,58702,51673,335.225,168,276,54,1305,236,31,52,560,134,502,134,80,24,8631,329,8,321,208,75,29,12,1,7170,1451,113,17,3965,15101,33,38,4.54793,23119100,161,580,683.963
6138,0,56971,50793,236.31,164,278,44,1216,206,37,48,506,138,487,143,78,23,9078,331,-3,334,252,66,29,13,1,5988,14415,113,17,3965,13843,33,38,3.43891,23119100,156,580,1171.03
6846,0,57186,50915,64.6538,163,276,44,1203,200,35,48,499,133,482,136,78,23,9017,329,-3,332,251,66,43,31,2,5739,1441,22,21,3965,13710,24,33,6.6619,23115152,157,2402,1236.73
5985,0,57671,51279,270,162,274,43,1203,203,38,48,497,143,490,150,80,24,9004,327,-5,332,249,66,29,10,1,4679,14392,113,26,3965,12809,33,38,2.22705,23119100,158,580,506.826
10658,0,59126,51916,282.804,166,274,54,1337,249,29,53,556,125,540,125,81,25,8560,326,8,318,205,54,37,28,5,7551,14499,52,21,3966,15213,25,38,7.14414,23110132,162,2402,1586.95
7002,0,59217,52007,30.9638,166,275,56,1333,250,28,53,555,123,539,123,81,25,8533,326,10,316,205,56,37,23,1,7465,14498,113,21,3966,15181,25,38,5.55072,23119100,162,580,2728.52
9535,0,59217,52007,128.66,166,275,56,1333,250,28,53,555,123,539,123,81,25,8533,326,10,316,205,56,29,13,1,7465,14498,113,21,3966,15181,33,38,4.0695,23119100,162,580,2862.09
12442,0,59217,52007,341.565,166,274,55,1337,251,28,54,558,124,540,124,80,25,8538,325,9,316,205,55,29,19,1,7465,14498,113,21,3966,15181,33,38,3.01696,23119100,162,580,2964.79
6915,0,60135,52590,161.565,168,277,53,1417,248,41,50,603,153,533,163,80,24,8686,332,8,324,209,76,22,48,1,6064,14547,113,32,3967,14205,51,27,2.01234,23115172,165,2402,1802.3
5858,0,60104,52590,201.801,171,280,57,1401,242,43,50,599,156,512,167,79,24,8677,335,12,323,213,79,41,8,1,6185,14534,113,21,3967,14379,21,38,1.71364,23121124,165,2402,749.263
5655,0,57399,51128,291.801,162,274,43,1220,207,39,48,504,145,494,153,80,24,8960,327,-4,331,249,66,41,15,3,5550,1444,31,21,3967,13570,21,38,1.71364,23121124,157,2402,898.115
13880,0,59067,51886,21.8014,164,272,56,1378,265,27,56,577,118,577,118,82,26,8437,323,10,313,272,56,29,43,1,7287,,113,21,3967,14854,33,38,1.71364,23119100,162,5772,5451.12
9143,0,59399,52037,218.66,165,273,54,1359,251,29,53,557,124,557,124,83,26,8523,325,8,317,273,54,29,34,1,7936,1454,113,32,3968,15347,33,38,2.03732,23115172,163,580,3404.14
9354,0,58648,51830,75.9638,167,277,51,1299,232,35,51,547,132,506,137,77,23,8786,328,4,324,251,71,22,1,1,7214,14494,123,11,3968,15339,47,31,2.62302,23116140,161,580,2007.56
10383,0,58886,51919,246.644,167,276,56,1316,251,27,55,554,121,531,121,78,24,8580,327,11,316,206,56,,21,4,6413,14331,42,12,3968,14614,,,14.9097,23124100,161,0,0
8816,0,58471,51027,351.87,163,268,50,1676,294,46,54,758,168,578,218,80,24,8480,322,1,321,204,70,36,146,2,9501,1456,22,21,3969,17047,39,25,4.49235,23121120,160,580,1032.05
7814,0,53830,45534,18.435,162,272,46,1320,225,42,48,546,156,519,172,80,24,8755,326,0,326,247,69,36,57,1,8295,,113,18,3969,15639,39,25,1.00648,23121120,148,580,1807.83
7210,0,57340,51067,180,163,276,45,1186,195,34,48,487,129,472,130,78,23,8948,327,-2,329,251,66,29,20,1,5109,,113,21,3969,13216,33,38,3.81407,23119100,157,580,3297.69
12301,0,57340,51067,78.6901,163,276,45,1186,195,34,48,487,129,472,130,78,23,8948,327,-2,329,251,66,29,18,1,5109,,122,21,3969,13216,33,38,1.62263,23119100,157,580,3104.01
6781,0,58671,51735,200.556,170,279,55,1315,230,36,52,583,141,476,149,78,24,8698,332,9,323,212,77,,14,4,7178,14477,42,17,3970,15156,,,2.7176,23124100,161,0,220.36
9440,0,57884,51371,284.036,165,274,54,1306,243,29,53,535,120,532,120,79,25,8584,325,9,316,247,54,29,25,1,5671,14449,113,21,3970,13824,33,38,1.3122,23121124,159,580,3731.92
9834,0,57493,51189,315,163,275,46,1184,195,34,48,483,128,469,128,78,23,8912,327,-1,328,250,66,29,21,1,5119,,113,21,3970,13236,33,38,1.35022,23119102,158,580,5368.5
12764,0,59021,54432,206.565,162,266,48,1630,285,46,53,723,165,574,210,80,24,8484,321,0,321,203,69,21,148,1,10455,,113,12,3970,16974,49,30,0.711726,23115172,162,580,5723.05
12585,0,57158,51006,45,164,278,45,1158,186,34,47,475,129,463,130,79,23,9045,329,-3,332,253,66,29,13,1,4974,14528,113,11,3971,13086,33,38,0.450149,23119100,157,580,3609.84
881,1,59008,51920,233.13,171,280,56,1378,238,41,52,613,148,493,162,78,24,8701,333,9,324,213,78,,13,1,7069,14453,113,25,3971,15086,,,1.59114,23119100,162,5772,1014.9
882,1,59008,51920,45,171,280,56,1378,238,41,52,613,148,493,162,78,24,8701,333,9,324,213,78,,13,1,6996,14453,113,25,3971,15021,,,0.450149,23119100,162,5772,908.832
883,1,59008,51920,180,171,280,56,1378,238,41,52,613,148,493,162,78,24,8701,333,9,324,213,78,,13,1,7068,14453,113,25,3971,15086,,,0,23119100,162,5772,877.926
886,1,59008,51920,135,171,280,56,1378,238,41,52,613,148,493,162,78,24,8701,333,9,324,213,78,31,13,1,6996,14453,113,25,3971,15021,36,33,0.450149,23119100,162,5772,1091.94
5933,0,58915,51858,11.3099,172,280,56,1375,237,41,52,612,148,491,162,79,24,8720,333,9,324,214,78,31,14,1,7069,14453,113,12,3971,15086,36,33,1.62263,23119100,162,5772,749.823
887,1,59008,51920,90,171,280,56,1378,238,41,52,613,148,493,162,78,24,8701,333,9,324,213,78,,14,1,6995,14453,123,25,3971,15020,,,0.954841,23116140,162,5772,709.017
9167,0,56417,50087,64.9831,163,271,49,1436,257,38,53,609,144,582,150,83,25,8621,326,1,325,247,70,,178,2,7772,14368,21,26,3971,15736,,,20.1957,23110120,154,0,388.319
11169,0,59891,52467,37.875,169,279,55,1398,245,41,50,596,151,525,161,80,24,8707,334,9,325,211,77,36,28,1,6500,14549,113,29,3972,14652,39,25,3.62445,23121120,164,2402,3813.24
13420,0,59891,52467,189.462,170,279,55,1394,245,41,50,596,151,523,160,80,24,8713,334,10,324,212,77,36,26,2,6522,14549,21,29,3972,14675,39,25,1.93547,23121120,164,2402,3955.82
6670,0,57458,51066,315,164,272,55,1307,243,28,53,538,117,538,117,79,25,8517,323,9,314,272,55,28,46,1,5291,14427,113,21,3972,13422,36,36,0.900242,23121124,157,2402,1594.05
7915,0,53500,48414,172.875,155,264,43,1204,197,39,52,518,134,518,158,80,24,8599,317,-4,321,264,114,31,109,2,5824,14337,22,31,3972,13533,36,33,2.56458,23115192,147,2402,1230.4
13929,0,58153,51400,15.5241,169,278,54,1337,237,36,51,578,141,503,146,80,24,8668,330,8,322,210,76,29,24,1,7793,14531,113,22,3973,15670,33,38,5.9253,23119100,160,2402,1218.32
8776,0,49505,42536,287.913,143,241,26,1554,257,46,48,635,171,599,192,75,23,8344,292,-21,313,218,47,36,561,2,9739,14251,21,52,3973,15832,39,25,30.0287,23121132,136,31,6800.41
4567,0,58978,52011,237.995,168,277,53,1342,240,35,54,588,135,506,146,76,23,8730,329,6,323,209,73,29,22,2,7201,14483,21,16,3974,15366,33,38,5.98401,23119100,162,2402,4.20669
609,1,58762,51736,303.69,170,279,55,1310,228,36,53,588,140,467,151,77,23,8679,331,9,322,211,78,,19,4,7321,1448,41,11,3974,15334,,,1.14753,23125100,161,,22.1476
619,1,58762,51736,286.699,170,279,55,1310,228,36,53,588,140,467,151,77,23,8679,331,9,322,211,78,,16,4,7321,1448,41,11,3974,15334,,,3.31953,23125100,161,,70.5276
617,1,58762,51736,111.801,170,279,55,1310,228,36,53,588,140,467,151,77,23,8679,331,9,322,211,78,,16,4,7313,1448,41,11,3974,15324,,,1.71364,23125100,161,5772,128.236
11996,0,59224,52133,243.435,171,280,56,1379,239,42,51,598,150,503,160,79,24,8684,334,11,323,213,79,36,13,1,6659,14371,113,17,3974,14719,39,25,1.42323,23121120,162,0,322.946
9172,0,59526,52254,243.435,170,279,56,1390,243,42,51,596,151,517,160,80,24,8681,334,10,324,212,78,29,19,1,6882,14541,113,21,3975,15017,33,38,2.1343,23119100,163,5772,1208.11
5723,0,57491,51158,180,163,277,42,1189,201,37,48,493,140,484,143,79,23,9107,330,-4,334,252,65,43,8,1,5001,14475,113,11,3975,13091,24,33,1.90915,23115152,157,580,567.142
13274,0,59433,52223,18.435,167,275,54,1296,242,28,54,556,125,510,125,78,24,8620,326,9,317,207,54,12,22,1,6743,14468,113,21,3975,14812,62,26,3.01696,23115192,163,580,922.603
5375,0,58498,51768,315,165,276,48,1241,212,36,49,514,134,487,138,78,23,8900,329,0,329,251,69,29,6,1,6200,,113,11,3975,14348,33,38,2.24963,23119100,160,580,1805.35
10068,0,57336,50975,248.199,165,272,58,1365,265,26,56,582,111,582,111,82,26,8397,324,13,311,272,58,29,26,1,5554,14512,113,12,3976,13419,33,38,1.71364,23119100,157,580,4795.58
7050,0,59402,52192,231.34,167,275,54,1295,242,27,54,556,124,510,124,78,24,8609,326,9,317,206,54,25,21,1,6794,14473,113,21,3976,14838,42,33,2.03732,23121124,163,580,1648.06
7131,0,58432,51738,46.8476,165,274,49,1369,241,40,51,579,143,520,157,77,23,8767,326,2,324,249,70,31,30,1,8657,14423,113,41,3976,16667,36,33,6.94684,23121122,160,580,11675
10751,0,57277,50975,124.992,165,273,57,1323,250,27,54,556,113,556,113,81,25,8493,325,12,313,273,57,29,19,1,5123,1454,113,11,3977,13230,33,38,7.7238,23119100,157,580,1074.63
5471,0,58943,51855,300.964,167,276,53,1363,243,36,52,577,141,530,144,81,25,8644,329,6,323,208,74,22,32,2,7733,14497,21,21,3977,15624,51,27,1.8554,23115172,161,2402,2161.19
8807,0,59006,51887,26.5651,166,275,54,1304,240,29,53,558,129,509,129,80,25,8590,326,8,318,206,54,29,30,1,7215,1448,113,21,3977,15100,33,38,2.1343,23119100,162,580,4477.44
10568,0,57401,51128,206.565,164,276,46,1178,193,34,47,480,128,466,128,79,24,8908,327,-1,328,251,67,26,20,1,5078,,113,21,3977,13195,36,38,2.1343,23119102,157,580,3891.11
8765,0,57278,51067,281.31,164,276,47,1142,183,33,47,460,122,451,122,80,24,8883,327,-1,328,251,47,29,2,1,4853,,113,11,3977,12985,33,38,1.62263,23119100,157,580,333.189
5271,0,57089,50762,171.87,162,273,45,1283,218,41,48,530,153,511,166,80,24,8816,327,-1,328,247,68,29,57,1,7551,,113,20,3977,15091,33,38,2.24963,23119100,157,580,476.63
10191,0,60561,52895,360,171,280,55,1411,242,42,49,600,159,512,172,79,24,8743,336,11,325,213,79,28,20,1,5877,14539,113,21,3978,14158,36,36,1.90915,23110132,166,580,1900.23
5441,0,59096,51946,270,166,275,54,1296,238,29,53,558,129,502,129,79,24,8609,326,8,318,206,54,43,62,2,7105,14486,21,28,3978,15049,24,33,6.65443,23121124,162,2402,1423.94
7428,0,58974,51948,168.69,169,279,54,1247,221,31,53,557,133,452,137,77,23,8726,330,8,322,211,76,15,8,1,6944,14552,123,11,3979,15037,52,33,1.62263,23116142,162,5772,987.102
11009,0,59098,51979,291.801,166,274,56,1338,259,26,55,556,118,550,118,79,25,8529,325,11,314,204,56,29,8,1,6761,14495,113,21,3979,14640,33,38,1.71364,23119100,162,580,1260.16
4314,0,57277,51006,21.8014,162,273,45,1247,211,40,48,515,149,503,160,80,24,8842,326,-2,328,248,68,29,21,1,5992,14388,113,12,3979,13902,33,38,1.71364,23119100,157,580,297.48
9986,0,57246,50944,338.199,165,273,56,1304,243,27,54,543,113,543,113,81,25,8500,325,11,314,273,56,29,17,1,5091,14463,113,16,3980,13204,33,38,1.71364,23119100,157,580,3207.5
12945,0,59404,52285,90,168,278,52,1312,237,32,54,574,130,503,136,76,23,8756,328,6,322,209,74,22,13,1,6475,14443,123,11,3980,14766,47,31,0.954841,23116140,163,580,642.262
12673,0,41685,37553,285.255,122,225,15,1607,254,46,48,638,175,625,193,74,24,8130,274,-33,307,201,36,27,889,2,11646,14216,21,62,3980,15981,40,33,3.62445,23110122,113,207,1933.54
10675,0,59340,52130,315,168,277,54,1393,247,40,51,590,146,539,152,81,24,8666,332,7,325,210,75,29,33,2,8093,14498,22,29,3981,16287,33,38,4.93947,23119100,162,580,2572.25
7351,0,57519,51158,280.305,162,274,43,1227,209,39,47,506,146,494,153,79,23,8995,326,-4,330,249,66,31,27,1,4992,14449,113,24,3981,13082,36,33,3.55425,23121122,157,580,5399.88
10028,0,57401,51097,104.036,164,275,48,1165,190,33,47,469,123,460,123,79,24,8838,327,0,327,250,48,26,11,1,4975,14376,113,15,3981,13106,36,38,1.3122,23119102,157,580,5697.55
5248,0,57369,51067,312.879,161,273,43,1212,203,38,48,500,144,495,152,81,24,8917,326,-5,331,247,66,,15,2,5312,14312,22,30,3981,13325,,,6.05862,23121124,157,580,574.569
12538,0,58709,51860,33.6901,167,276,53,1311,239,32,53,558,130,513,133,77,24,8703,327,7,320,251,72,29,5,1,7140,14481,113,11,3982,15289,33,38,1.14753,23116140,161,580,2159.69
12348,0,55147,49511,4.1223,156,265,41,1365,237,39,50,570,142,535,149,76,23,8710,315,-5,320,240,61,31,252,3,7211,14347,31,41,3982,15286,36,33,31.7271,23121122,151,4301,4044.04
3638,1,56609,50609,270,161,275,41,1110,179,33,49,469,126,469,128,82,24,9097,327,-11,338,275,63,15,-22,3,3202,14291,31,11,3982,11271,52,33,1.90915,23116142,155,,0
3627,1,56609,50609,90,161,276,41,1110,179,33,49,469,126,469,128,82,24,9121,328,-11,339,276,63,15,-17,3,3225,14291,31,11,3982,11296,52,33,0.954841,23116142,155,,131.964
3633,1,56609,50609,315,161,275,41,1110,179,33,49,469,126,469,128,82,24,9097,327,-11,338,275,63,15,-19,3,3225,14291,31,11,3982,11296,52,33,0.450149,23116142,155,,0
3634,1,56609,50609,285.945,161,275,41,1110,179,33,49,469,126,469,128,82,24,9097,327,-11,338,275,63,,-22,4,3233,14291,41,11,3982,11304,,,4.62459,23116142,155,,0
3636,1,56609,50609,225,161,276,41,1110,179,33,49,469,126,469,128,82,24,9121,328,-11,339,276,63,15,-18,3,3225,14291,31,11,3982,11296,52,33,1.35022,23116142,155,,0
3637,1,56609,50609,66.8014,161,276,41,1110,179,33,49,469,126,469,128,82,24,9121,328,-11,339,276,63,15,-18,3,3225,14291,31,11,3982,11296,52,33,2.42273,23116142,155,,0
3632,1,56609,50609,180,161,276,41,1110,179,33,49,469,126,469,128,82,24,9121,328,-11,339,276,63,15,-20,4,3249,14291,41,11,3982,11321,52,33,0.954841,23116142,155,,0
10558,0,57047,50207,174.806,161,269,45,1448,252,43,50,608,157,543,181,78,24,8686,322,-1,323,202,67,12,146,2,10236,1443,21,31,3983,16200,62,26,3.51144,23119100,156,580,19500.2
12376,0,61132,56267,45,174,280,61,1580,264,47,51,685,171,573,196,83,25,8524,336,13,323,215,84,22,40,2,7555,14571,23,21,3984,15893,51,27,0.900242,23115172,168,5772,1998.36
4527,0,59098,51979,360,166,275,57,1341,260,26,55,554,117,553,117,80,25,8531,326,12,314,204,57,29,4,1,6738,14472,113,19,3984,14607,33,38,1.90915,23119100,162,580,1702.16
5092,0,58920,51981,180,167,277,53,1312,240,31,53,562,129,512,131,76,23,8724,327,7,320,208,73,22,12,1,6762,14462,113,11,3985,14983,47,31,1.90915,23116140,162,580,967.386
3002,1,57400,51067,326.31,164,278,43,1188,197,36,48,496,137,483,141,79,23,9137,331,-5,336,253,66,29,7,1,5161,,113,11,3985,13233,33,38,1.14753,23119100,157,580,1532.45
13760,0,57390,50665,129.56,162,270,48,1456,265,37,54,632,142,608,149,83,25,8612,325,0,325,247,69,26,133,2,6997,14544,22,31,3986,15034,33,41,9.41055,23110120,157,580,2576.83
10690,0,58494,51769,246.801,166,276,50,1363,241,40,51,578,141,518,154,77,23,8782,327,3,324,208,71,29,27,1,8434,14514,113,11,3986,16427,33,38,2.42273,23119100,160,580,12446.6
6970,0,58283,51584,206.565,165,276,47,1251,215,36,49,520,135,491,140,78,23,8893,328,0,328,251,68,41,6,1,6288,,113,16,3986,14397,21,38,2.1343,23121124,160,580,2833.8
11807,0,57583,51219,104.036,163,277,42,1172,195,36,48,488,138,482,142,80,23,9136,330,-6,336,252,65,29,-7,5,4702,,52,11,3986,12857,33,38,1.3122,23119106,158,580,446.301
11149,0,57461,51128,270,165,277,47,1230,209,36,49,512,135,487,140,78,23,8948,329,-1,330,252,68,29,-1,1,5977,,113,11,3986,13938,33,38,0.954841,23119100,157,580,3099.4
11624,0,58432,51738,53.1301,166,276,49,1333,235,39,51,563,140,512,152,77,23,8836,328,2,326,251,70,43,10,1,8631,1446,113,27,3987,16643,24,33,4.76364,23115152,160,580,5651.25
13063,0,59249,52039,147.995,167,275,56,1316,248,27,54,556,123,526,123,79,24,8554,326,9,317,206,56,37,13,1,7146,14456,113,21,3987,15010,25,38,3.00018,23110132,162,580,1456.28
10286,0,55876,50031,191.31,160,270,46,1225,202,40,50,510,141,510,161,81,24,8711,324,-2,326,270,117,29,38,2,7078,,22,21,3988,14521,33,38,3.24267,23121124,153,580,818.219
12223,0,59067,51917,238.393,166,275,54,1321,245,29,53,559,127,524,127,80,25,8586,326,8,318,206,54,22,36,1,7302,14486,113,13,3989,15124,51,27,4.84719,23119100,162,2402,4161.44
12177,0,49413,42536,236.646,146,251,33,1494,250,45,48,613,168,574,189,77,24,8475,304,-14,318,228,55,36,425,2,9702,14344,21,52,3989,15832,39,25,27.7189,23121120,136,207,4511.07
9696,0,55177,49603,279.273,154,265,36,1225,202,38,48,507,144,507,151,80,24,8883,317,-12,329,265,59,31,109,2,4857,14332,22,41,3989,12933,36,33,15.4203,23121122,151,2402,575.454
7815,0,57522,51158,11.3099,165,275,49,1184,197,33,48,479,124,468,124,79,24,8823,327,1,326,250,49,26,5,1,5107,,113,11,3989,13238,36,38,1.62263,23119102,158,580,4975.65
10453,0,57522,51158,63.435,165,275,49,1185,198,33,48,479,123,469,123,79,24,8806,327,1,326,250,49,26,12,1,5100,,113,11,3989,13231,36,38,1.42323,23119100,158,580,4493.69
2206,1,58038,51463,26.5651,165,276,47,1241,213,36,49,517,134,489,139,78,23,8926,329,0,329,252,68,31,10,1,6302,14524,113,11,3990,14359,36,33,1.42323,23121122,159,580,1395.04
2208,1,58038,51463,26.5651,165,276,47,1241,213,36,49,517,134,489,139,78,23,8926,329,0,329,252,68,31,9,1,6302,14524,113,11,3990,14359,36,33,1.42323,23121122,159,580,1395.04
2227,1,58099,51524,306.87,165,276,47,1241,213,36,49,517,134,489,139,78,23,8926,329,0,329,252,68,29,4,1,6283,14524,113,11,3990,14351,33,38,1.59114,23121122,159,580,1518.28
2221,1,58099,51524,90,165,276,47,1241,213,36,49,517,134,489,139,78,23,8926,329,0,329,252,68,31,3,1,6296,14524,113,11,3990,14360,36,33,2.86241,23121122,159,580,1020.92
2222,1,58099,51524,33.6901,165,276,47,1241,213,36,49,517,134,489,139,78,23,8926,329,0,329,252,68,29,7,1,6291,14524,113,11,3990,14361,33,38,1.14753,23121122,159,580,1020.92
2228,1,58099,51524,105.945,165,276,47,1241,213,36,49,517,134,489,139,78,23,8926,329,0,329,252,68,31,3,1,6296,14524,113,11,3990,14360,36,33,2.31607,23121122,159,580,1113.24
8595,0,59218,52008,315,165,274,55,1336,253,28,54,558,123,541,123,80,25,8525,325,9,316,204,55,29,36,1,7344,1449,113,21,3990,15092,33,38,2.69895,23119100,162,2402,1395.26
7302,0,59310,52100,206.565,167,275,56,1318,251,27,55,555,121,532,121,79,25,8553,326,10,316,205,56,29,11,1,7065,14483,113,11,3990,14981,33,38,1.42323,23119100,162,580,865.309
11212,0,56781,50299,301.159,163,271,50,1433,258,37,54,615,141,595,146,84,25,8578,326,1,325,247,71,29,83,2,7648,14437,21,24,3990,15439,33,38,15.5978,23115192,155,2402,1333.06
12818,0,57941,51247,326.31,170,278,56,1320,234,36,51,576,140,490,146,79,24,8660,331,9,322,211,77,37,8,1,7934,14543,113,11,3991,15761,24,39,2.29414,23119106,159,5772,1023.38
10131,0,57638,51187,232.125,164,271,58,1369,269,26,56,581,113,581,113,81,26,8397,324,14,310,271,58,28,45,1,5481,,113,14,3991,13595,36,36,3.62445,23110132,158,577,7100.06
4730,0,59005,51855,216.87,165,273,54,1341,247,30,53,560,128,537,128,81,25,8536,325,8,317,205,54,37,39,2,7431,14496,21,21,3992,15160,25,38,3.17983,23119100,162,580,5105.23
13183,0,59311,52223,59.4208,165,274,53,1308,244,28,54,562,126,515,126,77,24,8611,324,7,317,205,53,26,51,5,6307,14464,52,15,3992,14574,36,38,8.08005,23119102,162,580,1341.21
11302,0,57093,50853,302.005,163,275,44,1260,217,39,48,522,147,501,156,79,23,8977,327,-3,330,249,66,29,23,1,6468,,113,18,3993,14319,33,38,3.00018,23121124,156,580,2397.94
556,1,58792,51766,270,171,280,56,1339,232,38,53,599,143,478,155,78,24,8688,333,9,324,213,78,,4,4,7223,14398,46,11,3994,15229,,,1.27303,23116140,161,,414.543
8184,0,58978,51949,213.69,171,279,56,1333,233,38,52,589,144,482,152,79,24,8693,332,9,323,213,77,,8,4,6753,14395,46,12,3994,14784,,,3.43891,23124100,162,0,0
5832,0,57610,51249,360,163,276,42,1196,204,38,48,493,142,484,147,79,23,9101,329,-4,333,252,66,37,12,1,4584,,113,11,3994,12723,24,39,1.59114,23119106,158,580,1226.33
5147,0,57219,51036,270,164,277,47,1169,190,34,47,478,128,464,129,79,23,8947,329,-2,331,252,67,29,8,1,5013,,113,21,3994,13125,33,38,2.86241,23119100,157,580,1227.21
11307,0,58701,51765,45,169,278,54,1260,223,32,52,563,134,457,139,77,23,8739,330,7,323,211,75,29,13,1,7154,,113,11,3995,15184,33,38,1.80004,23119100,161,5772,830.813
12619,0,60135,52590,180,170,280,55,1401,243,42,50,598,155,516,165,79,24,8740,335,10,325,212,78,29,14,1,6049,14567,113,21,3997,14217,33,38,0,23119100,165,2402,3400.33
11827,0,58063,51338,206.565,170,279,55,1322,233,36,51,579,141,487,147,79,24,8699,332,9,323,212,77,,10,1,7821,14524,113,19,3997,15675,,,2.84471,23119106,159,5772,14.5548
5243,0,56025,50121,116.565,160,269,46,1209,199,39,50,507,139,507,158,81,25,8665,323,-1,324,269,117,29,20,1,6600,,113,14,3997,14148,33,38,0.711726,23119100,154,580,275.617
8142,0,58793,51736,336.801,171,280,56,1394,240,43,52,621,150,497,166,79,24,8721,333,9,324,213,78,29,16,1,7436,14523,113,15,3998,15419,33,38,2.42273,23119100,161,5772,446.485
10119,0,56722,50395,284.036,164,274,47,1341,234,41,49,561,150,516,165,78,23,8843,327,0,327,250,69,22,35,4,8664,14495,46,11,3998,16086,47,31,1.3122,23119100,156,580,1626.77
12058,0,56752,50425,330.945,164,274,46,1343,234,41,49,562,150,516,165,78,23,8833,327,0,327,249,68,22,36,1,8657,14495,113,11,3998,16080,47,31,3.27363,23119100,156,580,2080.91
6403,0,57340,51067,153.435,164,278,43,1177,193,35,48,491,133,477,136,78,23,9110,331,-6,337,253,65,,13,1,5325,14488,123,11,3998,13357,,,1.42323,23125100,157,580,231.026
8304,0,58701,51765,135,169,278,54,1261,222,32,52,564,135,455,140,77,23,8699,330,7,323,211,76,22,5,1,7169,,113,11,3998,15194,47,31,1.35022,23119100,161,5772,3065.21
2987,1,57463,51128,360,164,278,43,1181,195,35,49,496,135,485,139,79,23,9154,332,-6,338,254,65,29,1,1,4972,14476,113,11,3999,13104,33,38,0.954841,23119100,158,,80.3079
11871,0,57584,51189,337.166,165,277,47,1220,206,36,48,506,134,483,138,78,23,8960,329,-1,330,252,68,26,7,1,5872,14444,113,11,3999,13892,36,38,6.53366,23125100,158,,39.2503
11595,0,51205,43361,353.157,149,254,37,1572,273,44,52,673,157,593,179,75,23,8448,304,-9,313,189,57,43,377,2,12379,14313,21,51,3999,17243,24,33,22.7656,23115152,140,207,11551.6
